,id,first_name,last_name,address,address2,city,state,zip,classification,salary,commission,hourly,password,access,phone_number,department
0,557,Nikolai,Russia,1221 W N E,,Pripyat,Ukraine,20020,3,200000.0,34.0,95.21,TStark-57,1,1231234567,KGB
0,68,Jed,Netti,85 Coolidge Terrace,,San Antonio,Texas,78255,2,159648.55,47.0,45.7,None,2,,
0,47-2771794,Galvan,Solesbury,3 Drewry Junction,,Springfield,Illinois,62794,2,91934.89,39.0,47.92,None,3,,
0,11-0469486,Reynard,Lorenzin,3233 Spaight Point,,Houston,Texas,77030,1,87578.56,27.0,86.84,None,3,,
0,41-5906217,Sandi,Bernardinelli,24129 Susan Junction,,Houston,Texas,77080,1,75273.14,44.0,58.58,None,3,,
0,62-5530062,Shelli,Gosnold,0348 Dakota Hill,,Pasadena,California,91199,2,139728.46,30.0,65.55,None,3,,
0,87-6664864,Deonne,Plane,61894 Westerfield Lane,,Portland,Oregon,97296,3,103514.53,36.0,92.61,None,3,,
0,07-3318962,Filia,Cramb,2 Hallows Parkway,,Fort Worth,Texas,76192,3,138257.72,20.0,99.59,None,3,,
0,80-1251478,Berni,Whittam,77015 Prairie Rose Road,,Chicago,Illinois,60669,2,46020.03,40.0,43.25,None,2,,
0,38-2406306,Kelby,Shaxby,5 Roxbury Place,,Dallas,Texas,75231,2,46173.64,31.0,75.03,None,2,,
0,06-4413296,Carola,Doche,820 Blackbird Crossing,,Houston,Texas,77234,3,136114.4,29.0,65.06,None,3,,
0,58-5924013,Amabel,Reeks,7 Buell Terrace,,Cleveland,Ohio,44105,3,123237.32,35.0,36.6,None,3,,
0,45-9277595,Vilhelmina,Cranham,0434 Jenifer Court,,Annapolis,Maryland,21405,3,74736.36,42.0,90.18,None,3,,
0,04-0002399,Nicoli,Allanson,02370 Golf View Circle,,Boulder,Colorado,80305,3,152822.32,22.0,34.79,None,3,,
0,06-9938086,Jeffie,Steedman,06 Oneill Hill,,Huntsville,Alabama,35895,1,129855.42,21.0,19.82,None,3,,
0,86-3502566,Rosamund,Ridhole,60 Forest Plaza,,Fort Lauderdale,Florida,33336,1,60150.07,37.0,19.8,None,2,,
0,64-8475900,Dre,Oylett,3116 Barby Lane,,Aurora,Illinois,60505,2,102583.77,32.0,83.0,None,3,,
0,38-0498292,Parke,Novotna,990 Erie Center,,Aiken,South Carolina,29805,3,33580.92,34.0,93.39,None,3,,
0,27-7347997,Darda,Philippsohn,35347 Oneill Hill,,Palm Bay,Florida,32909,3,85762.52,21.0,27.76,None,3,,
0,17-7841952,Sophey,McCrisken,313 Fairview Terrace,,Austin,Texas,78778,1,116943.22,28.0,93.87,None,2,,
0,38-0238479,Zacherie,Crease,76189 Warrior Hill,,San Francisco,California,94164,3,51520.53,26.0,60.67,None,2,,
0,78-2666234,Anabella,Flegg,7 Blaine Point,,Roanoke,Virginia,24020,3,113715.49,37.0,95.43,None,3,,
0,11-2479305,Delores,Pouton,45 Truax Terrace,,Kalamazoo,Michigan,49048,2,114860.52,38.0,14.58,None,3,,
0,64-5571074,Rochette,Scorthorne,1076 Utah Point,,Birmingham,Alabama,35225,1,61968.01,36.0,32.63,None,3,,
0,13-3301062,Davey,Nelmes,7067 Old Shore Alley,,Kansas City,Missouri,64142,1,94680.4,24.0,98.81,None,3,,
0,06-9331330,Gerhard,Lymer,9 Rieder Parkway,,Harrisburg,Pennsylvania,17105,3,104800.78,27.0,77.3,None,3,,
0,62-1927856,Abagael,Matuszynski,60 Orin Place,,Boise,Idaho,83757,3,125893.63,24.0,56.02,None,3,,
0,04-0559530,Pinchas,Crossgrove,5 Mendota Lane,,Charleston,West Virginia,25362,1,159578.6,22.0,37.47,None,3,,
0,70-1649233,Pru,Kaubisch,600 Shasta Point,,Washington,District of Columbia,20016,1,37807.52,47.0,80.27,None,3,,
0,55-9913618,Coralyn,Arundell,4 Rusk Point,,Jamaica,New York,11436,1,121181.39,27.0,63.55,None,3,,
0,46-2430428,Casandra,Ellis,10 Ramsey Parkway,,Bethesda,Maryland,20892,3,150589.06,23.0,78.4,None,3,,
0,45-1446417,Keane,Bellelli,722 1st Drive,,Denton,Texas,76205,3,105286.9,42.0,58.45,None,3,,
0,34-1470643,Carmella,Viner,35254 Schlimgen Plaza,,Alexandria,Virginia,22333,3,133412.67,39.0,37.14,None,3,,
0,61-1429482,Ignacio,Benoi,9219 2nd Park,,New York City,New York,10009,2,54571.77,47.0,23.65,None,1,,
0,47-6322881,Filmore,Carloni,7579 Trailsway Terrace,,Boca Raton,Florida,33499,2,36583.6,24.0,15.18,None,3,,
0,24-2489311,Worth,Durdy,057 Kings Street,,Minneapolis,Minnesota,55402,1,154276.71,32.0,15.76,None,3,,
0,27-6024380,Allsun,Dorre,23531 Sheridan Plaza,,Cincinnati,Ohio,45243,3,145152.67,23.0,57.07,None,3,,
0,45-3983716,Emelita,de Broke,48962 Merrick Court,,Memphis,Tennessee,38188,3,42498.73,24.0,61.59,None,3,,
0,51-5722021,Prissie,Monaghan,6 Onsgard Center,,Bakersfield,California,93311,2,138498.34,33.0,11.53,None,3,,
0,19-1809045,Lizette,McCarty,4125 Westport Court,,Jamaica,New York,11431,2,97210.51,44.0,61.66,None,3,,
0,68-9493929,Tess,Macak,53464 Troy Pass,,Kansas City,Missouri,64153,2,150082.0,22.0,96.1,None,3,,
0,19-6229104,Case,Arondel,6892 Green Terrace,,Pensacola,Florida,32575,3,142277.16,44.0,98.03,None,2,,
0,16-3431739,Araldo,Glentworth,6286 Mosinee Plaza,,Atlanta,Georgia,30311,3,92337.99,25.0,36.02,None,3,,
0,41-3478571,Paco,Capineer,6 Scoville Pass,,Charleston,South Carolina,29411,3,50887.75,40.0,56.55,None,3,,
0,10-3896686,Windy,Everit,53 Sheridan Way,,Jacksonville,Florida,32230,2,106438.66,22.0,76.54,None,3,,
0,94-5535191,Thornton,Marron,4897 Atwood Way,,Oklahoma City,Oklahoma,73109,1,146678.0,49.0,64.44,None,3,,
0,28-2776989,Richy,Dumbrell,395 Sunnyside Avenue,,Pensacola,Florida,32595,2,119478.41,28.0,69.35,None,3,,
