,id,first_name,last_name,address,address2,city,state,zip,classification,salary,commission,hourly,password,access,phone_number,department
0,557,Nikolai,Turgenev,1221 W N E,,Sochi,Russia,20020,3,159648.55,34,95.21,Password123!,1,1231234567,Propaganda
0,68,Jed,Netti,85 Coolidge Terrace,,San Antonio,Texas,78255,3,159648.55,47,45.7,Numbers123!,2,,Marketing
0,47-2771794,Galvan,Solesbury,3 Drewry Junction,,Springfield,Illinois,62794,2,91934.89,39,47.92,None,3,,
0,11-0469486,Reynard,Lorenzin,3233 Spaight Point,,Houston,Texas,77030,1,87578.56,27,86.84,None,3,,
0,41-5906217,Sandi,Bernardinelli,24129 Susan Junction,,Houston,Texas,77080,1,75273.14,44,58.58,None,3,,
0,62-5530062,Shelli,Gosnold,0348 Dakota Hill,,Pasadena,California,91199,2,139728.46,30,65.55,None,3,,
0,87-6664864,Deonne,Plane,61894 Westerfield Lane,,Portland,Oregon,97296,3,103514.53,36,92.61,None,3,,
0,07-3318962,Filia,Cramb,2 Hallows Parkway,,Fort Worth,Texas,76192,3,138257.72,20,99.59,None,3,,
0,80-1251478,Berni,Whittam,77015 Prairie Rose Road,,Chicago,Illinois,60669,2,46020.03,40,43.25,None,2,,
0,38-2406306,Kelby,Shaxby,5 Roxbury Place,,Dallas,Texas,75231,2,46173.64,31,75.03,None,2,,
0,06-4413296,Carola,Doche,820 Blackbird Crossing,,Houston,Texas,77234,3,136114.4,29,65.06,None,3,,
0,58-5924013,Amabel,Reeks,7 Buell Terrace,,Cleveland,Ohio,44105,3,123237.32,35,36.6,None,3,,
0,45-9277595,Vilhelmina,Cranham,0434 Jenifer Court,,Annapolis,Maryland,21405,3,74736.36,42,90.18,None,3,,
0,04-0002399,Nicoli,Allanson,02370 Golf View Circle,,Boulder,Colorado,80305,3,152822.32,22,34.79,None,3,,
0,06-9938086,Jeffie,Steedman,06 Oneill Hill,,Huntsville,Alabama,35895,1,129855.42,21,19.82,None,3,,
0,86-3502566,Rosamund,Ridhole,60 Forest Plaza,,Fort Lauderdale,Florida,33336,1,60150.07,37,19.8,None,2,,
0,64-8475900,Dre,Oylett,3116 Barby Lane,,Aurora,Illinois,60505,2,102583.77,32,83,None,3,,
0,38-0498292,Parke,Novotna,990 Erie Center,,Aiken,South Carolina,29805,3,33580.92,34,93.39,None,3,,
