68-9609244,109.66,835.97,631.92,862.67,732.21
47-2771794,912.48,873.15,884.0,429.34,688.09
62-5530062,465.92,291.14,941.82,213.59,179.03
38-2406306,770.1,604.38,742.86,688.78,504.21
80-1251478,302.89,532.92,707.99,696.22,893.11
64-8475900,949.36,239.73,487.92,426.76,719.71
11-2479305,380.09,233.12,697.44,680.85,410.33
61-1429482,310.28,897.33,311.76,796.0,667.98
47-6322881,459.57,852.73,817.97,552.56,887.92
51-5722021,441.33,341.34,700.38,526.14,843.18
19-1809045,969.24,642.42,778.48,591.27,165.56
68-9493929,115.24,890.15,807.94,231.11,912.45
10-3896686,425.2,617.71,835.12,161.24,190.95
28-2776989,794.56,816.11,367.95,389.16,588.17
34-6810393,412.61,594.29,792.19,919.74,431.81
02-7468211,823.41,159.0,812.65,569.8,196.24
10-1307727,548.17,558.39,552.95,188.77,495.79
96-7270096,558.0,601.69,339.59,291.36,835.66
89-7922101,210.94,338.76,966.04,853.99,369.35
92-9969043,218.37,143.98,137.22,146.31,519.84
52-1313427,417.08,489.92,819.46,287.85,225.14
71-2790118,390.19,402.26,517.73,551.04,770.62
92-4506503,156.85,859.3,992.84,362.99,118.75
88-7647386,107.12,977.91,785.83,899.55,931.02
00-3751184,730.49,553.12,229.97,147.78,780.29
50-5110195,115.95,138.71,155.97,474.21,352.72
65-1939987,437.58,505.03,499.4,804.83,969.84
